"filename", "language", "JSON with Comments", "JavaScript", "JSON", "XML", "Markdown", "CSS", "comment", "blank", "total"
"c:\Users\Daniel\Desktop\RivCode\CorazonRosa\Software\Frontend\facorazonrosa\README.md", "Markdown", 0, 0, 0, 0, 23, 0, 0, 14, 37
"c:\Users\Daniel\Desktop\RivCode\CorazonRosa\Software\Frontend\facorazonrosa\eslint.config.mjs", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 5, 15
"c:\Users\Daniel\Desktop\RivCode\CorazonRosa\Software\Frontend\facorazonrosa\jsconfig.json", "JSON with Comments", 7, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Daniel\Desktop\RivCode\CorazonRosa\Software\Frontend\facorazonrosa\next-i18next.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Daniel\Desktop\RivCode\CorazonRosa\Software\Frontend\facorazonrosa\next.config.mjs", "JavaScript", 0, 2, 0, 0, 0, 0, 1, 2, 5
"c:\Users\Daniel\Desktop\RivCode\CorazonRosa\Software\Frontend\facorazonrosa\package-lock.json", "JSON", 0, 0, 8865, 0, 0, 0, 0, 1, 8866
"c:\Users\Daniel\Desktop\RivCode\CorazonRosa\Software\Frontend\facorazonrosa\package.json", "JSON", 0, 0, 31, 0, 0, 0, 0, 1, 32
"c:\Users\Daniel\Desktop\RivCode\CorazonRosa\Software\Frontend\facorazonrosa\postcss.config.mjs", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 2, 6
"c:\Users\Daniel\Desktop\RivCode\CorazonRosa\Software\Frontend\facorazonrosa\public\file.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Daniel\Desktop\RivCode\CorazonRosa\Software\Frontend\facorazonrosa\public\globe.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Daniel\Desktop\RivCode\CorazonRosa\Software\Frontend\facorazonrosa\public\locales\en\common.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\Daniel\Desktop\RivCode\CorazonRosa\Software\Frontend\facorazonrosa\public\locales\es\common.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 1, 5
