"filename", "language", "JSON", "JavaScript", "JSON with Comments", "Markdown", "XML", "CSS", "comment", "blank", "total"
"c:\Users\Daniel\Desktop\RivCode\CorazonRosa\facorazonrosa\README.md", "Markdown", 0, 0, 0, 23, 0, 0, 0, 14, 37
"c:\Users\Daniel\Desktop\RivCode\CorazonRosa\facorazonrosa\eslint.config.mjs", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 5, 15
"c:\Users\Daniel\Desktop\RivCode\CorazonRosa\facorazonrosa\jsconfig.json", "JSON with Comments", 0, 0, 7, 0, 0, 0, 0, 1, 8
"c:\Users\Daniel\Desktop\RivCode\CorazonRosa\facorazonrosa\next-i18next.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Daniel\Desktop\RivCode\CorazonRosa\facorazonrosa\next.config.mjs", "JavaScript", 0, 2, 0, 0, 0, 0, 1, 2, 5
"c:\Users\Daniel\Desktop\RivCode\CorazonRosa\facorazonrosa\package-lock.json", "JSON", 8894, 0, 0, 0, 0, 0, 0, 1, 8895
"c:\Users\Daniel\Desktop\RivCode\CorazonRosa\facorazonrosa\package.json", "JSON", 33, 0, 0, 0, 0, 0, 0, 1, 34
"c:\Users\Daniel\Desktop\RivCode\CorazonRosa\facorazonrosa\postcss.config.mjs", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 2, 6
"c:\Users\Daniel\Desktop\RivCode\CorazonRosa\facorazonrosa\public\file.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Daniel\Desktop\RivCode\CorazonRosa\facorazonrosa\public\globe.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Daniel\Desktop\RivCode\CorazonRosa\facorazonrosa\public\locales\en\common.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Daniel\Desktop\RivCode\CorazonRosa\facorazonrosa\public\locales\es\common.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Daniel\Desktop\RivCode\CorazonRosa\facorazonrosa\public\next.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Daniel\Desktop\RivCode\CorazonRosa\facorazonrosa\public\vercel.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Daniel\Desktop\RivCode\CorazonRosa\facorazonrosa\public\window.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Daniel\Desktop\RivCode\CorazonRosa\facorazonrosa\src\app\_app.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 3, 11
"c:\Users\Daniel\Desktop\RivCode\CorazonRosa\facorazonrosa\src\app\dashboard\billing\BillingTable.js", "JavaScript", 0, 70, 0, 0, 0, 0, 0, 8, 78
"c:\Users\Daniel\Desktop\RivCode\CorazonRosa\facorazonrosa\src\app\dashboard\billing\billingtopbar.js", "JavaScript", 0, 86, 0, 0, 0, 0, 14, 11, 111
"c:\Users\Daniel\Desktop\RivCode\CorazonRosa\facorazonrosa\src\app\dashboard\billing\newbilling\page.js", "JavaScript", 0, 285, 0, 0, 0, 0, 14, 40, 339
"c:\Users\Daniel\Desktop\RivCode\CorazonRosa\facorazonrosa\src\app\dashboard\billing\page.js", "JavaScript", 0, 170, 0, 0, 0, 0, 2, 24, 196
"c:\Users\Daniel\Desktop\RivCode\CorazonRosa\facorazonrosa\src\app\dashboard\loss\new\page.js", "JavaScript", 0, 100, 0, 0, 0, 0, 1, 12, 113
"c:\Users\Daniel\Desktop\RivCode\CorazonRosa\facorazonrosa\src\app\dashboard\loss\page.js", "JavaScript", 0, 68, 0, 0, 0, 0, 20, 12, 100
